k,weight_factor,penalty_factor,MSE
10,140,1,1.9154837116502326
10,145,0.1,1.90217596441167
10,145,0.2,1.8909272570303355
10,145,0.3,1.866101282049667
10,145,0.6,1.9063758533207928
10,145,0.7,1.918607427944645
10,145,0.8,1.9126016725388617
10,145,0.9,1.9057511026532499
10,145,1,1.915026286512762
10,150,0.1,1.902066337884663
10,150,0.2,1.890686934613266
10,150,0.3,1.865877550583531
10,150,0.6,1.9059568087407273
10,150,0.7,1.9181407655630562
10,150,0.8,1.9121313332121532
10,150,0.9,1.9053250566442101
10,150,1,1.9145704778332273
10,180,0.1,1.901563779736179
10,180,0.2,1.8893354486068066
10,180,0.3,1.8645918171371771
10,180,0.6,1.9034908903831316
10,180,0.7,1.9153803685365183
10,180,0.8,1.9093530833566745
10,180,0.9,1.9028073330791553
10,180,1,1.91187467290094
11,1,0.1,1.889691947312501
11,1,0.2,1.9044676863676397
11,1,0.3,1.8872844511377331
11,1,0.6,1.9131189216772584
11,1,0.7,1.9337259333876218
11,1,0.8,1.9279139383622343
11,1,0.9,1.920788422462895
11,1,1,1.9216015198045573
11,30,0.1,1.8876780151321346
11,30,0.2,1.9011839504155932
11,30,0.3,1.8839533971681717
11,30,0.6,1.9093428078587964
11,30,0.7,1.9296391452731931
11,30,0.8,1.9239626972043413
11,30,0.9,1.916751846857081
11,30,1,1.9177396058054
11,80,0.1,1.885407895603547
11,80,0.2,1.8966904487195981
11,80,0.3,1.879336448872403
11,80,0.6,1.9038441178230234
11,80,0.7,1.9235841333022345
11,80,0.8,1.918132418059336
11,80,0.9,1.910778978781033
11,80,1,1.912028984528537
11,120,0.1,1.8843978279672373
11,120,0.2,1.8938294914423464
11,120,0.3,1.8763026795423312
11,120,0.6,1.899872609717482
11,120,0.7,1.9191063573008709
11,120,0.8,1.913793735384411
11,120,0.9,1.9063140513834897
11,120,1,1.9077204471608935
11,140,0.1,1.8841025560157332
11,140,0.2,1.8925716180399696
11,140,0.3,1.8749296126827704
11,140,0.6,1.8979719431823887
11,140,0.7,1.9169418392278734
11,140,0.8,1.9116961414038536
11,140,0.9,1.9041618614687272
11,140,1,1.9056394202667895
11,145,0.1,1.8840481863250482
11,145,0.2,1.892272186012381
11,145,0.3,1.8745986328552828
11,145,0.6,1.8975051458902792
11,145,0.7,1.916408476876753
11,145,0.8,1.9111796400921333
11,145,0.9,1.9036329392886917
11,145,1,1.9051277795926462
11,150,0.1,1.8840012729574205
11,150,0.2,1.891978377943546
11,150,0.3,1.8742722524148365
11,150,0.6,1.897041718127279
11,150,0.7,1.9158782865849187
11,150,0.8,1.910666385328803
11,150,0.9,1.903107766783632
11,150,1,1.9046196886802693
11,180,0.1,1.883869904545247
11,180,0.2,1.8903258380380148
11,180,0.3,1.8724049412294608
11,180,0.6,1.8943331503793068
11,180,0.7,1.9127653592702236
11,180,0.8,1.9076565775262135
11,180,0.9,1.9000367676659833
11,180,1,1.9016467892532805
1,1,0.4,2.8544698463249714
1,1,0.5,2.7640332569238435
1,30,0.4,2.854469844457566
1,30,0.5,2.764033255259729
1,80,0.4,2.854469840131373
1,80,0.5,2.7640332513880304
1,120,0.4,2.8544698353074796
1,120,0.5,2.764033247053358
1,140,0.4,2.8544698323002544
1,140,0.5,2.764033244345145
1,145,0.4,2.8544698314758135
1,145,0.5,2.7640332436020993
1,150,0.4,2.854469830620104
1,150,0.5,2.7640332428306476
1,180,0.4,2.854469824760455
1,180,0.5,2.7640332375433454
2,1,0.4,2.220855027607644
2,1,0.5,2.2374474043888197
2,30,0.4,2.2198963329178327
2,30,0.5,2.2353618268304336
2,80,0.4,2.2189092248230384
2,80,0.5,2.2324684188616994
2,120,0.4,2.2185462747996203
2,120,0.5,2.230557026428184
2,140,0.4,2.218476563712386
2,140,0.5,2.2297104288574703
2,145,0.4,2.2184703830386487
2,145,0.5,2.2295105121310597
2,150,0.4,2.2184687195264474
2,150,0.5,2.2293154272905005
2,180,0.4,2.2185548520320157
